event_id,user_id,phone_id,property,value,event_ts
171b9cce4614363cee4ccef585a0effa,ff50e3dd65ec04cc1a27dd7a194c90e3,d7f73235481a3ef42331726ab00a067a,smoking,,2019-07-04 18:42:45.216744
02b05af51a27e4a3c009c7992c773526,f17b76150227e21e219417d1f59926a0,7f9e6114e93b43de6d439017796a4d91,smoking,No,2019-07-04 18:42:45.216762
1b0c6c1f6425916d7c833e6f2e399a22,5c12b0ff33a1f4697b4b3b7e3025046e,409db2549fcdc373ac77f06ea985cbe6,notifications,True,2019-07-04 18:42:45.216779
a049da8b3fc20c772356b27acf766f21,7b77e76fe99333e32f3939f1b33e23cd,27b9fc1f87b39890815341d6e8615775,sex,M,2019-07-04 18:42:45.216797
0b2bcdfb58ae7838c6611340954a8953,327a00ce3f91f2fdf1ff12f7e1d5fd40,2a629d743469e0cfc01ad331b0000767,politics,,2019-07-04 18:42:45.216817
87aeabef7c8fb03c4f365dd7cea09534,d791ed76d90c3cd32c214814c4961dae,86cec45b02e0c8540dd7958aa8105604,smoking,Maybe,2019-07-04 18:42:45.216837
1bf07c5318295a5318185cc3e751bf9e,40d759e596dc25a72ed4acae538cbab9,ef36c71bcdb9a85a25581e0b3cda381a,politics,Conservative,2019-07-04 18:42:45.216855
0c93d05dbbd1c8b0704780f4299091f4,41a3e9350589c6d4e39316bed975d74c,d8176a74b2d3a319ee6a18a711d3e1ec,politics,Prefer Not to Say,2019-07-04 18:42:45.216872
a0f0cf84eb468e7b647abe8c7297045a,bc73fc6e390bfc668c50f4d2d6baea77,40aaef73624347d25a23aa2d813c8ab4,notifications,True,2019-07-04 18:42:45.216889
0cbb9622ba6fe597a3f44733857d858f,e16c003d05a0da54ecb46a1b0992e541,e6b5094078f58ce0aa5394182aae6431,sex,M,2019-07-04 18:42:45.216907
de862c6272f5202158144340804fead7,11e742d0d2a80f0321b8c2c1fd5294ba,111a68f135611848fb3c00dc904917e8,drinking,Yes,2019-07-04 18:42:45.216926
bbe5cb47afa3e311caa468ce2868a469,b3a0c405c5f3ed8b78e497c7fdb3a236,3c43732662f7daaf9b1743f799fb8b71,drinking,No,2019-07-04 18:42:45.216944
d160498584eeeaa71f784664928a2991,f8ef2ccbd3cc0c34671508bcf40f0892,995e99431915f3d029c9820bee04b19e,smoking,No,2019-07-04 18:42:45.216961
f046ef76d2d6eab1d2adddb24b952d0f,29726edf3397d11310498d149fbb2613,044276ebd618b6fd52eff6183901e8ee,notifications,False,2019-07-04 18:42:45.216980
ada2ab78b4e4776cf7a34c5c3e9c9e57,4bffd5aa6c1a5912affaa2ff40c20428,69fe02957b5b3c4119cf7f069eb2ccae,drinking,Maybe,2019-07-04 18:42:45.216997
b55e9fc76de281a4b9dcf35c0ac9bfc4,dba343f1f8fd018646db1f26d03e5844,1bc427e844f8c57644e9e5e83b42b66b,smoking,Yes,2019-07-04 18:42:45.217014
4041e64c1c56c9b6c8d0b76bbfc6bb64,2063a7805ab5bd6cea9cf3e88a8776c2,d85864db5b118bafa477323bdc77f479,sex,,2019-07-04 18:42:45.217031
fa17c286eb142eb873e81ec79864c164,fe76db0ddea658b730b95d272d716375,8be8f1b85652b3061848d738f7a883e7,smoking,Maybe,2019-07-04 18:42:45.217049
8609dde408f0df31234ef8c6e03c477b,b660d7d83fbf479ade41d101771f19bf,fe400ba354c77e6232fc31e3a231b726,notifications,True,2019-07-04 18:42:45.217066
6599cddc8eddd4ef4c490baa69c50a20,61af996322113ee64a9d57ac35d3f1e6,2900d97e6f1e68c2cf333bf306563c25,drinking,Maybe,2019-07-04 18:42:45.217084
bb52d3b72cca46d3e6bb3a4f9fa9d657,4c67621c90a52b0ef097e10f0ca52fd9,18740d4c5bd2864c34a9d86db7eaab75,notifications,True,2019-07-04 18:42:45.217101
2b4b1ae797dc3c3ddd881557eac842db,bcc263cbf7f5dfba4498188a490447cf,62bf425a3fe6b970362582a1b9337d75,sex,M,2019-07-04 18:42:45.217118
1fdf094372d3d0f2fa978b606b0c53c2,22702f55080d4ae97fe754f2370b45ee,d33365bb442c55b471d19bc02deb031f,smoking,Yes,2019-07-04 18:42:45.217140
65fc9564af591090549cbb05a6821f9f,44f900240d26f808cabe0ae27df45961,d93f24168e61017afe41aa22df38ad95,politics,Liberal,2019-07-04 18:42:45.217183
aa043a261b82ee05103995751bbf8aca,49cefcc06510fac96578b6d81172a614,83218931c1d3e746b8f0e90cf3cd80bb,sex,M,2019-07-04 18:42:45.217235
86aa2aace39161b7ac901b0e279f1b47,b354fdc62f3b2e7aa6ddb3daaaffa282,0fb3e0f7dcd6895773a730a36d8e956c,sex,M,2019-07-04 18:42:45.217270
2d8cad5a7110b608c0437eac6757b7e3,7eca610312c18438a7544859252687ab,3dbe91478807ddc93fd3d472a098a6a1,notifications,True,2019-07-04 18:42:45.217288
b6243f687758586c622fb50e275e5b8d,98057e95bff562a82857855c9b1c8eec,511764367efa9f857b2810ce134262bd,sex,,2019-07-04 18:42:45.217326
a10b56654a359aef7f09235fcd3795cf,a40bce2ea2691afb4b2d6e814a825ca2,46f220c62db84ce61193fb67f097e1ef,smoking,No,2019-07-04 18:42:45.217357
73765c37db780a34c8a1af1f224ec5d8,7921fb27719f5ea034566d5f49a59939,2e3412ef82131e9902052be8ee911f0f,drinking,Yes,2019-07-04 18:42:45.217394
65f32e5d8fdeed916c71d26e8fe582a3,c9336af4c374b3f1defd57daf6095117,3fcdc0fdb1e64b69b0c0375914e287a3,politics,,2019-07-04 18:42:45.217425
