event_id,phone_id,ad_id,provider,placement,length,event_ts
f19b73f3e9938ec23f531ef466bd21a3,3368a507c105e20323c1bec223090d9f,0,Facebook,Left,1353.0,2019-07-05 18:42:45.238395
b6d3e30163b6ac628b034aadce71642d,df70099ec4977bd277078f42af2126ec,15,Instagram,Center,1034.0,2019-07-05 18:42:45.238414
84e0265be22e279648d00a43c9cdd3c3,a8fae91fb321a8499b3512aef848fea0,10,Facebook,Left,1157.0,2019-07-05 18:42:45.238432
c80231f8d58f06901c3ac93d57ebe25a,139cc562543bff5b0ccbfd5cf09499ac,2,Spotify,Right,1524.0,2019-07-05 18:42:45.238450
b2c9a3d0b8b7cd6521dbf3031a8abe37,b086fa1d1b64099804c3e5236abb7e77,9,Snapchat,Top,1812.0,2019-07-05 18:42:45.238468
849a8c78253f92c5443b2fe804652ccf,4d583dec9a322d83e89e9239f83f2425,9,Instagram,Right,825.0,2019-07-05 18:42:45.238486
1a900eb79a9e4d18678d4c9c2da51b14,2df720549f55fb2ded3b3adbafbfca08,18,Facebook,Top,803.0,2019-07-05 18:42:45.238504
c21bd2757c7f97ba1354705ff27e9c9c,c51e0582e18a6105333ad7ad98cad716,3,Snapchat,Left,1334.0,2019-07-05 18:42:45.238522
3637a7f17d64d91cc06b28e8f36a882d,e96b61bb49f2364ae6c5341aa3fb17b7,8,Snapchat,Right,2346.0,2019-07-05 18:42:45.238539
ceb646281edf88f6a90e70bbbaadf357,ac30d4c3616e6addb8dda7d4a2a334ac,2,Instagram,Top,351.0,2019-07-05 18:42:45.238559
b3750cc328eab9c5a97d95d6b14f0529,ae8cd94ab3329bed5bed06a90891b63c,8,Instagram,Right,425.0,2019-07-05 18:42:45.238579
8877120cd6f77d2b948c579dce09ae36,c6ef20f2ae14913e8cb2dff237b1fe9d,3,Snapchat,Top,1715.0,2019-07-05 18:42:45.238597
d1422ba71e893e425aa4db08cc495ebc,1a732c0e75fb96bab083f15144318df4,6,Snapchat,Center,744.0,2019-07-05 18:42:45.238614
f68b57b73c6cf3fe45f2c0bf5bc4dd4a,e4719e742a967083ef093bdab91ea684,1,Spotify,Bottom,1641.0,2019-07-05 18:42:45.238632
a5134fe90784f6d7cb71d4cf71b691df,eafa8a5d3899863c5e10ac1c83b26234,3,Facebook,Bottom,604.0,2019-07-05 18:42:45.238649
3fa9789225dbddcdbf5f39fffae2a8e1,abf9101c88a3e3039891dfee0243d3f5,20,Instagram,Bottom,1919.0,2019-07-05 18:42:45.238668
d71d2ac68d7d9542b1f4ca1e05f3122a,11f8b3efaf908df7b232c1be756dec59,3,Snapchat,Bottom,1020.0,2019-07-05 18:42:45.238686
40680ddbd595ca94266bde07ccd011c4,e1acd01587ec5ce977400eb734d057bf,19,Instagram,Center,1036.0,2019-07-05 18:42:45.238704
87f7a2e86c77760435e62d2a884b5deb,64cf5d29ab38526ff4900da03cbf19f0,2,Facebook,Center,1129.0,2019-07-05 18:42:45.238724
9239a559f70afd6467358c008a6dc2d0,06cad9321872a912969c4b8c1ca4a908,6,Snapchat,Left,857.0,2019-07-05 18:42:45.238741
2a405bb362e9af76e57e310f706066ff,308a6bafac3dafad283e2eb23e02c710,5,Facebook,Center,1257.0,2019-07-05 18:42:45.238759
c364bd65a6d5871d3da21967537cf7c3,e1600eeaa7953b006b9fc976b78f4b15,8,Snapchat,Bottom,1343.0,2019-07-05 18:42:45.238777
2f8496992dd44ce12eb9ef3cb4fc3578,76b9fb947e8401c7b8b17761e5183840,9,Snapchat,Right,2145.0,2019-07-05 18:42:45.238794
40ec83b6abcef3d947ee62ad5c166a39,9497322745e6c2373f330209fa707aee,1,Instagram,Top,1034.0,2019-07-05 18:42:45.238820
32b305fe11688aff38ed2c27ca676ed6,a5377998d4c155db78c0ec46b04c15e1,19,Facebook,Bottom,623.0,2019-07-05 18:42:45.238838
8f30deaeaeeab1bbb10228292d714f9e,fe90e621ae9fccb6d37c2a9ef35bdf0f,1,Instagram,Bottom,731.0,2019-07-05 18:42:45.238858
267882ed320d64a3ac0a30762a987123,84d96d99ef85f6c6af4a1de46a537e5b,6,Snapchat,Left,701.0,2019-07-05 18:42:45.238877
1e8ef810d2f10b44793872d2e55b2fd6,42ef11c73c90717d961fde884d8d756d,11,Facebook,Center,1425.0,2019-07-05 18:42:45.238894
d92d800ab882d269930168e4fb8346ad,df33b6c979552fe7ae044854f0b71fcd,0,Spotify,Bottom,1411.0,2019-07-05 18:42:45.238912
c5beab295cc88aed0fd050b014ba3485,03a86133bdbe2df1fb022e86b3bd370f,18,Instagram,Top,136.0,2019-07-05 18:42:45.238930
8f3f4608601ddd3ae09bcf288d15c8eb,ae3ffac70e92847289cae9196ac741a1,3,Facebook,Left,2213.0,2019-07-05 18:42:45.238947
2a59c518415d2f5ec065f7b432bdd609,825cca0b0b8408f6e30923a93b114d6e,9,Facebook,Right,116.0,2019-07-05 18:42:45.238965
d1864da8af9987206a1172fe8f6a5774,033b9ddaa55f69ce06c86c9f5410f81c,9,Facebook,Left,1636.0,2019-07-05 18:42:45.238983
b03e97107b9c55440a180c30bdbac7fb,cef2300e34ba05056322d6029e270f3a,3,Instagram,Top,842.0,2019-07-05 18:42:45.239001
c5816422bc9fc818b31731674ccf147f,feb029f01412e8892be1e367ce8752d1,2,Snapchat,Bottom,1010.0,2019-07-05 18:42:45.239019
